date,gamma,elecro,lon,L
2023-11-0102:14:00.000,1.2543333,N/A,278.66614,1.4583400
2023-11-0102:15:00.000,1.3060000,N/A,277.85010,1.5594900
2023-11-0102:16:00.000,1.4193333,N/A,277.00385,1.6862299
2023-11-0102:17:00.000,1.4770000,N/A,276.11945,1.8452400
2023-11-0102:18:00.000,1.6140000,N/A,275.18719,2.0460899
2023-11-0102:19:00.000,2.8893333,N/A,274.19510,2.3031001
2023-11-0102:20:00.000,4.8273333,N/A,273.12787,2.6349599
2023-11-0102:21:00.000,98.175333,N/A,271.96555,3.0715201
2023-11-0102:22:00.000,558.68767,0.000000e+0,270.68170,3.6540799
2023-11-0102:23:00.000,336.60867,0.000000e+0,269.24011,4.4448900
2023-11-0102:24:00.000,38.018333,N/A,267.59003,5.5455499
2023-11-0102:25:00.000,1.9610000,N/A,265.65778,7.1433501
2023-11-0102:26:00.000,1.8736667,N/A,263.33270,9.5763197
2023-11-0102:27:00.000,1.9813333,N/A,260.44125,13.416730
2023-11-0102:28:00.000,1.9196667,N/A,256.69781,19.625650
2023-11-0102:29:00.000,1.7646667,N/A,251.60600,29.480080
2023-11-0102:30:00.000,1.9136667,N/A,244.25620,42.646481
2023-11-0102:31:00.000,2.0650000,N/A,232.94595,51.477970
2023-11-0102:32:00.000,1.9013333,N/A,214.90910,46.105961
2023-11-0102:33:00.000,1.8013333,N/A,188.84134,33.284451
2023-11-0102:34:00.000,1.9673333,N/A,161.83684,22.586220
2023-11-0102:35:00.000,2.3543333,N/A,142.36678,15.626550
2023-11-0102:36:00.000,5.7590000,N/A,130.12029,11.145540
2023-11-0102:37:00.000,67.674311,N/A,122.24026,8.1427698
2023-11-0102:38:00.000,399.53557,0.000000e+0,116.84097,6.1307302
2023-11-0102:39:00.000,578.51700,0.000000e+0,112.90897,4.7997098
2023-11-0102:40:00.000,135.60600,N/A,109.89532,3.8760400
2023-11-0102:41:00.000,6.6190000,N/A,107.48719,3.2001100
2023-11-0102:42:00.000,2.4720000,N/A,105.49620,2.6895800
2023-11-0102:43:00.000,1.5753333,N/A,103.80315,2.2989700
2023-11-0102:44:00.000,1.3540000,N/A,102.32929,1.9964800
2023-11-0102:45:00.000,1.2970000,N/A,101.02059,1.7595299
2023-11-0102:46:00.000,1.1866667,N/A,99.838768,1.5716600
2023-11-0102:47:00.000,1.0830000,N/A,98.755928,1.4220500
2023-11-0102:48:00.000,0.99633333,N/A,97.751198,1.3028300
2023-11-0102:49:00.000,0.88900000,N/A,96.808578,1.2076000
2023-11-0102:50:00.000,0.84700000,N/A,95.915543,1.1329700
2023-11-0102:51:00.000,0.87700000,N/A,95.062057,1.0753500
2023-11-0102:52:00.000,0.81225926,N/A,94.239891,1.0325700
2023-11-0102:53:00.000,N/A,N/A,93.442169,1.0028501
2023-11-0102:54:00.000,N/A,N/A,92.662956,0.98580003
2023-11-0102:55:00.000,N/A,N/A,91.897041,0.98053002
2023-11-0102:56:00.000,N/A,N/A,91.139671,0.98615998
2023-11-0102:57:00.000,0.78000000,N/A,90.386398,1.0033100
2023-11-0102:58:00.000,0.78633333,N/A,89.632919,1.0331000
2023-11-0102:59:00.000,0.88900000,N/A,88.874924,1.0768300
2023-11-0103:00:00.000,0.89400000,N/A,88.107933,1.1364800
